阿空	 a kong
庭渡久侘歌	 ting du jiu cha ge
同人	 tong ren
土蜘蛛	 tu zhi zhu
土著信仰	 tu zhu xin yang
屠自古	 tu zi gu
外界	 wai jie
外来人	 wai lai ren
外来韦编	 wai lai wei bian
亡灵	 wang ling
为逝去公主所奏的七重奏	 wei shi qu gong zhu suo zou de qi chong zou
文花帖	 wen hua tie
文文	 wen wen
物部布都	 wu bu bu dou
五分咲	 wu fen xiao
无何有之乡	 wu he you zhi xiang
无名之丘	 wu ming zhi qiu
雾雨	 wu yu
雾雨魔理沙	 wu yu mo li sha
无缘冢	 wu yuan zhong
雾之湖	 wu zhi hu
稀神探女	 xi shen tan nv
西行寺幽幽子	 xi xing si you you zi
吸血鬼	 xi xue gui
献给逝去公主的七重奏	 xian gei shi qu gong zhu de qi chong zou
仙界	 xian jie
仙人	 xian ren
现世的秘术师	 xian shi de mi shu shi
香霖堂	 xiang lin tang
乡长	 xiang zhang
响子	 xiang zi
小町	 xiao ding
小恶魔	 xiao e mo
小米弹	 xiao mi dan
小人族	 xiao ren zu
小伞	 xiao san
小桶	 xiao tong
小兔姬	 xiao tu ji
小碗	 xiao wan
小五	 xiao wu
小小青蛙不输风雨	 xiao xiao qing wa bu shu feng yu
咲夜	 xiao ye
小野冢小町	 xiao ye zhong xiao ding
泄矢诹访子	 xie shi zou fang zi
心酱	 xin jiang
心绮楼	 xin qi lou
信仰是为了虚幻之人	 xin yang shi wei le xu huan zhi ren
星莲船	 xing lian chuan
星条旗的小丑	 xing tiao qi de xiao chou
星熊杯	 xing xiong bei
星熊勇仪	 xing xiong yong yi
星之器	 xing zhi qi
续关	 xu guan
玄武之泽	 xuan wu zhi ze
玄爷	 xuan ye
玄云海	 xuan yun hai
阎魔	 yan mo
妖虫	 yao chong
妖怪狸	 yao guai li
妖怪鼠	 yao guai shu
妖怪之山	 yao guai zhi shan
妖精	 yao jing
妖精大战争	 yao jing da zhan zheng
妖梦	 yao meng
妖兽	 yao shou
妖兔	 yao tu
妖妖跋扈	 yao yao ba hu
妖妖梦	 yao yao meng
鵺酱	 ye jiang
夜雀	 ye que
异变	 yi bian
伊吹萃香	 yi chui cui xiang
伊吹瓢	 yi chui piao
一分咲	 yi fen xiao
衣玖	 yi jiu
依莉斯	 yi li si
一轮	 yi lun
一设	 yi she
依神女苑	 yi shen nv yuan
依神紫苑	 yi shen zi yuan
易者	 yi zhe
因幡帝	 yin fan di
隐匿的四季	 yin ni de si ji
寅丸星	 yin wan xing
樱花樱花	 ying hua ying hua
影狼	 ying lang
永动之龛	 yong dong zhi kan
永江衣玖	 yong jiang yi jiu
永琳	 yong lin
永夜抄	 yong ye chao
勇仪	 yong yi
永远的春梦	 yong yuan de chun meng
永远的满月	 yong yuan de man yue
永远亭	 yong yuan ting
幽闭星光	 you bi xing guang
有顶天	 you ding tian
幽谷响子	 you gu xiang zi
幽幻魔眼	 you huan mo yan
幽灵	 you ling
幽冥结界	 you ming jie jie
幽香	 you xiang
幽雅的绽放墨染之樱	 you ya de zhan fang mo ran zhi ying
幽幽子	 you you zi
御伽之国的鬼岛	 yu jia zhi guo de gui dao
宇佐见堇子	 yu zuo jian jin zi
宇佐见堇子的魔法书	 yu zuo jian jin zi de mo fa shu
宇佐见莲子	 yu zuo jian lian zi
乐器妖怪	 yue qi yao guai
月人	 yue ren
月时计	 yue shi ji
月兔	 yue tu
月之都	 yue zhi dou
云居一轮	 yun ju yi lun
云山	 yun shan
再思之道	 zai si zhi dao
早苗	 zao miao
长相酷似周杰伦的村民	 zhang xiang ku si zhou jie lun de cun min
长者	 zhang zhe
针妙丸	 zhen miao wan
正邪	 zheng xie
中弹	 zhong dan
终符	 zhong fu
众神眷恋的幻想乡	 zhong shen juan lian de huan xiang xiang
朱鹭子	 zhu lu zi
竹取飞翔	 zhu qu fei xiang
转转	 zhuan zhuan
自机	 zi ji
自机狙	 zi ji ju
紫老太	 zi lao tai
紫妈	 zi ma
紫妹	 zi mei
紫奶奶	 zi nai nai
紫婆婆	 zi po po
紫香花	 zi xiang hua
诹访湖	 zou fang hu
诹访子	 zou fang zi
